'ARS3-6 1/2 OS','0.0357','+.0000 -.0003','Yes','1/32','1/4','6','15.42'
'ARS3-62 OS','0.0357','+.0000 -.0003','Yes','1/32','1/4','6','15.42'
'ARS3-82 OS','0.0357','+.0000 -.0003','Yes','1/32','1/4','8','15.70'
'ARS3-82 OS-1','0.0317','+.0000 -.0003','Yes','1/32','1/4','8','22.74'
'ARS3-83 OS','0.0357','+.0000 -.0003','Yes','1/32','1/4','8','16.07'
'ARS4-6 1/2 OS','0.0464','+.0000 -.0003','Yes','3/64','1/4','6','8.60'
'ARS4-62 OS','0.0514','+.0000 -.0003','Yes','3/64','1/4','6','9.36'
'ARS4-82 OS-1','0.0474','+.0000 -.0003','Yes','3/64','1/4','8','14.70'
'ARS4-82 OS-2','0.0484','+.0000 -.0003','Yes','3/64','1/4','8','14.70'
'ARS4-82 OS-3','0.0494','+.0000 -.0003','Yes','3/64','1/4','8','14.70'
'ARS4-102 OS','0.0514','+.0000 -.0003','Yes','3/64','1/4','10','10.60'
'ARS5-6 1/2 OS','0.067','+.0000 -.0003','Yes','1/16','1/4','6','9.14'
'ARS5-62 OS','0.067','+.0000 -.0003','Yes','1/16','1/4','6','8.88'
'ARS5-82 OS-1','0.063','+.0000 -.0003','Yes','1/16','1/4','8','17.26'
'ARS5-102 OS','0.067','+.0000 -.0003','Yes','1/16','1/4','10','9.82'
'ARS5-104 OS','0.067','+.0000 -.0003','Yes','1/16','1/4','10','11.08'
'ARS6-6 1/2 OS','0.0826','+.0000 -.0003','Yes','5/64','1/4','6','9.20'
'ARS6-62 OS','0.0826','+.0000 -.0003','Yes','5/64','1/4','6','8.44'
'ARS6-83 OS','0.0826','+.0000 -.0003','Yes','5/64','1/4','8','10.87'
'ARS6-102 OS','0.0826','+.0000 -.0003','Yes','5/64','1/4','10','10.12'
'ARS7-6 1/2 OS','0.0983','+.0000 -.0003','Yes','3/32','1/4','6','8.66'
'ARS7-62 OS','0.0983','+.0000 -.0003','Yes','3/32','1/4','6','8.17'
'ARS7-102 OS','0.0983','+.0000 -.0003','Yes','3/32','1/4','10','9.31'
'ARS8-6 1/2 OS','0.1139','+.0000 -.0003','Yes','7/64','1/4','6','8.66'
'ARS8-62 OS','0.1139','+.0000 -.0003','Yes','7/64','1/4','6','8.17'
'ARS8-102 OS','0.1139','+.0000 -.0003','Yes','7/64','1/4','10','9.61'
