'AR25-14','0.3745','+.0000 -.0003','Yes','3/8','5/8','14','13.47'
'AR25-18','0.3745','+.0000 -.0003','Yes','3/8','5/8','18','16.45'
'AR25-25','0.3745','+.0000 -.0003','Yes','3/8','5/8','25','22.05'
'AR25-36','0.3745','+.0000 -.0003','Yes','3/8','5/8','36','70.30'
'AR26-6','0.3901','+.0000 -.0003','Yes','25/64','37/64','6','11.25'
'AR26-10','0.3901','+.0000 -.0003','Yes','25/64','37/64','10','12.28'
'AR27-6','0.4057','+.0000 -.0003','Yes','13/32','11/16','6','9.90'
'AR27-14','0.4057','+.0000 -.0003','Yes','13/32','11/16','14','15.52'
'AR29-4','0.437','+.0000 -.0003','Yes','7/16','11/16','4','11.19'
'AR29-6','0.437','+.0000 -.0003','Yes','7/16','11/16','6','12.06'
'AR29-10','0.437','+.0000 -.0003','Yes','7/16','11/16','10','14.06'
'AR29-14','0.437','+.0000 -.0003','Yes','7/16','11/16','14','16.23'
'AR29-18','0.437','+.0000 -.0003','Yes','7/16','11/16','18','22.53'
'AR29-25','0.437','+.0000 -.0003','Yes','7/16','11/16','25','31.50'
'AR30-10','0.4526','+.0000 -.0003','Yes','29/64','45/64','10','12.87'
'AR33-6','0.4995','+.0000 -.0003','Yes','1/2','3/4','6','11.58'
'AR33-10','0.4995','+.0000 -.0003','Yes','1/2','3/4','10','15.47'
'AR33-12','0.4995','+.0000 -.0003','Yes','1/2','3/4','12','19.69'
'AR33-14','0.4995','+.0000 -.0003','Yes','1/2','3/4','14','21.41'
'AR33-18','0.4995','+.0000 -.0003','Yes','1/2','3/4','18','22.29'
'AR33-25','0.4995','+.0000 -.0003','Yes','1/2','3/4','25','36.83'
'AR33-36','0.4995','+.0000 -.0003','Yes','1/2','3/4','36','83.93'
'AR34-10','0.5307','+.0000 -.0005','Yes','17/32','25/32','10','18.01'
'AR35-6','0.562','+.0000 -.0005','Yes','9/16','13/16','6','16.28'
'AR35-10','0.562','+.0000 -.0005','Yes','9/16','13/16','10','20.71'
'AR35-14','0.562','+.0000 -.0005','Yes','9/16','13/16','14','30.07'
'AR37-6','0.6245','+.0000 -.0005','Yes','5/8','7/8','6','16.77'
'AR37-10','0.6245','+.0000 -.0005','Yes','5/8','7/8','10','22.66'
'AR37-14','0.6245','+.0000 -.0005','Yes','5/8','7/8','14','30.94'
'AR37-18','0.6245','+.0000 -.0005','Yes','5/8','7/8','18','34.39'
'AR37-25','0.6245','+.0000 -.0005','Yes','5/8','7/8','25','49.88'
'AR39-25','0.687','+.0000 -.0005','Yes','11/16','15/16','25','49.35'
'AR41-6','0.7495','+.0000 -.0005','Yes','3/4','1','6','22.01'
'AR41-10','0.7495','+.0000 -.0005','Yes','3/4','1','10','29.48'
'AR41-12','0.7495','+.0000 -.0005','Yes','3/4','1','12','33.31'
'AR41-14','0.7495','+.0000 -.0005','Yes','3/4','1','14','35.85'
'AR41-18','0.7495','+.0000 -.0005','Yes','3/4','1','18','48.35'
'AR41-25','0.7495','+.0000 -.0005','Yes','3/4','1','25','65.10'
'AR45-18','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','18','76.23'
'AR47-8','0.9995','+.0000 -.0005','Yes','1','1-1/4','8','36.29'
'AR47-10','0.9995','+.0000 -.0005','Yes','1','1-1/4','10','38.89'
'AR47-14','0.9995','+.0000 -.0005','Yes','1','1-1/4','14','52.73'
'AR47-18','0.9995','+.0000 -.0005','Yes','1','1-1/4','18','77.12'
'AR47-25','0.9995','+.0000 -.0005','Yes','1','1-1/4','25','82.25'
'AR47-36','0.9995','+.0000 -.0005','Yes','1','1-1/4','36','141.75'
