'DHP7-4','0.0933','+.0000 -.0003','Yes','3/32','7/32','4','5.70'
'DHP7-4T','0.0933','+.0000 -.0003','Yes','3/32','7/32','4','5.70'
'DHP7-6','0.0933','+.0000 -.0003','Yes','3/32','7/32','6','7.10'
'DHP7-6T','0.0933','+.0000 -.0003','Yes','3/32','7/32','6','7.10'
'DHP9-10','0.1245','+.0000 -.0003','Yes','1/8','1/4','10','4.12'
'DHP9-10T','0.1245','+.0000 -.0003','Yes','1/8','1/4','10','4.12'
'DHP9-12','0.1245','+.0000 -.0003','Yes','1/8','1/4','12','4.69'
'DHP9-14','0.1245','+.0000 -.0003','Yes','1/8','1/4','14','4.46'
'DHP9-14T','0.1245','+.0000 -.0003','Yes','1/8','1/4','14','4.46'
'DHP9-6','0.1245','+.0000 -.0003','Yes','1/8','1/4','6','3.78'
'DHP9-6T','0.1245','+.0000 -.0003','Yes','1/8','1/4','6','3.78'
'DHP9-8','0.1245','+.0000 -.0003','Yes','1/8','1/4','8','4.52'
'DHP10-10','0.1401','+.0000 -.0003','Yes','9/64','1/4','10','4.73'
'DHP10-10T','0.1401','+.0000 -.0003','Yes','9/64','1/4','10','4.98'
'DHP10-4','0.1401','+.0000 -.0003','No','9/64','1/4','4','4.44'
'DHP10-6 OS','0.1451','-0.0003','Yes','9/64','1/4','6','5.18'
'DHP11-10','0.1557','+.0000 -.0003','Yes','5/32','9/32','10','5.02'
'DHP11-10T','0.1557','+.0000 -.0003','Yes','5/32','9/32','10','5.02'
'DHP11-14','0.1557','+.0000 -.0003','Yes','5/32','9/32','14','5.15'
'DHP11-14T','0.1557','+.0000 -.0003','Yes','5/32','9/32','14','5.15'
'DHP11-6','0.1557','+.0000 -.0003','Yes','5/32','9/32','6','4.33'
'DHP11-6T','0.1557','+.0000 -.0003','Yes','5/32','9/32','6','4.33'
'DHP11-8','0.1557','+.0000 -.0003','Yes','5/32','9/32','8','4.62'
'DHP13-10','0.187','+.0000 -.0003','Yes','3/16','3/8','10','4.76'
'DHP13-10T','0.187','+.0000 -.0003','Yes','3/16','3/8','10','4.76'
'DHP13-12','0.187','+.0000 -.0003','Yes','3/16','3/8','12','5.07'
'DHP13-14','0.187','+.0000 -.0003','Yes','3/16','3/8','14','5.19'
'DHP13-14T','0.187','+.0000 -.0003','Yes','3/16','3/8','14','5.19'
'DHP13-4','0.187','+.0000 -.0003','No','3/16','3/8','4','4.31'
'DHP13-6','0.187','+.0000 -.0003','Yes','3/16','3/8','6','4.41'
'DHP13-6T','0.187','+.0000 -.0003','Yes','3/16','3/8','6','4.41'
'DHP13-8','0.187','+.0000 -.0003','Yes','3/16','3/8','8','4.65'
'DHP14-10T','0.2026','+.0000 -.0003','Yes','13/64','3/8','10','4.91'
'DHP15-10','0.2183','+.0000 -.0003','Yes','7/32','13/32','10','5.36'
'DHP15-10T','0.2183','+.0000 -.0003','Yes','7/32','13/32','10','5.36'
'DHP15-14','0.2183','+.0000 -.0003','Yes','7/32','13/32','14','5.48'
'DHP15-14T','0.2183','+.0000 -.0003','Yes','7/32','13/32','14','5.48'
'DHP21-6','0.312','+.0000 -.0003','Yes','5/16','1/2','6','6.24'
'DHP21-6T','0.312','+.0000 -.0003','Yes','5/16','1/2','6','6.24'
'DHP15-6','0.2183','+.0000 -.0003','Yes','7/32','13/32','6','5.71'
'DHP15-6T','0.2183','+.0000 -.0003','Yes','7/32','13/32','6','5.71'
'DHP21-8','0.312','+.0000 -.0003','Yes','5/16','1/2','8','5.69'
'DHP21-8T','0.312','+.0000 -.0003','Yes','5/16','1/2','8','5.69'
'DHP15-8','0.2183','+.0000 -.0003','Yes','7/32','13/32','8','5.92'
'DHP17-10','0.2495','+.0000 -.0003','Yes','1/4','7/16','10','6.21'
'DHP17-10T','0.2495','+.0000 -.0003','Yes','1/4','7/16','10','6.21'
'DHP17-14','0.2495','+.0000 -.0003','Yes','1/4','7/16','14','7.05'
'DHP17-14T','0.2495','+.0000 -.0003','Yes','1/4','7/16','14','7.05'
'DHP17-4','0.2495','+.0000 -.0003','No','1/4','7/16','4','4.65'
'DHP23-10','0.3433','+.0000 -.0003','Yes','11/32','9/16','10','7.94'
'DHP23-10T','0.3433','+.0000 -.0003','Yes','11/32','9/16','10','7.94'
'DHP17-6','0.2495','+.0000 -.0003','Yes','1/4','7/16','6','5.44'
'DHP17-6T','0.2495','+.0000 -.0003','Yes','1/4','7/16','6','5.44'
'DHP17-8','0.2495','+.0000 -.0003','Yes','1/4','7/16','8','6.02'
'DHP19-10','0.2807','+.0000 -.0003','Yes','9/32','7/16','10','5.51'
'DHP25-10','0.3745','+.0000 -.0003','Yes','3/8','5/8','10','8.63'
'DHP25-10T','0.3745','+.0000 -.0003','Yes','3/8','5/8','10','8.63'
'DHP19-10T','0.2807','+.0000 -.0003','Yes','9/32','7/16','10','5.51'
'DHP21-10','0.312','+.0000 -.0003','Yes','5/16','1/2','10','7.29'
'DHP25-14','0.3745','+.0000 -.0003','Yes','3/8','5/8','14','10.05'
'DHP25-14T','0.3745','+.0000 -.0003','Yes','3/8','5/8','14','10.05'
'DHP21-10T','0.312','+.0000 -.0003','Yes','5/16','1/2','10','7.29'
'DHP21-12','0.312','+.0000 -.0003','Yes','5/16','1/2','12','7.93'
'DHP25-6','0.3745','+.0000 -.0003','Yes','3/8','5/8','6','6.99'
'DHP21-14','0.312','+.0000 -.0003','Yes','5/16','1/2','14','8.45'
'DHP21-14T','0.312','+.0000 -.0003','Yes','5/16','1/2','14','8.45'
