'NP25-25','0.3745','-.0005 -.0008','Yes','3/8','5/8','25','14.39'
'NP25-36','0.3745','-.0005 -.0008','Yes','3/8','5/8','36','37.76'
'NP25-39','0.3745','-.0005 -.0008','Yes','3/8','5/8','39','60.32'
'NP26-10','0.3901','-.0005 -.0008','Yes','25/64','37/64','10','8.03'
'NP27-6','0.4057','-.0005 -.0008','Yes','13/32','11/16','6','5.36'
'NP27-10','0.4057','-.0005 -.0008','Yes','13/32','11/16','10','7.15'
'NP27-14','0.4057','-.0005 -.0008','Yes','13/32','11/16','14','9.08'
'NP27-18','0.4057','-.0005 -.0008','Yes','13/32','11/16','18','11.77'
'NP27-25','0.4057','-.0005 -.0008','Yes','13/32','11/16','25','16.81'
'NP29-6','0.437','-.0005 -.0008','Yes','7/16','11/16','6','5.82'
'NP29-10','0.437','-.0005 -.0008','Yes','7/16','11/16','10','7.86'
'NP29-14','0.437','-.0005 -.0008','Yes','7/16','11/16','14','10.05'
'NP29-18','0.437','-.0005 -.0008','Yes','7/16','11/16','18','13.06'
'NP29-25','0.437','-.0005 -.0008','Yes','7/16','11/16','25','18.71'
'NP29-36','0.437','-.0005 -.0008','Yes','7/16','11/16','36','42.04'
'NP30-10','0.4526','-.0005 -.0008','Yes','29/64','3/4','10','9.56'
'NP31-6','0.4683','-.0005 -.0008','Yes','15/32','3/4','6','6.94'
'NP31-10','0.4683','-.0005 -.0008','Yes','15/32','3/4','10','8.62'
'NP31-18','0.4683','-.0005 -.0008','Yes','15/32','3/4','18','14.49'
'NP31-25','0.4683','-.0005 -.0008','Yes','15/32','3/4','25','21.11'
'NP32-10','0.4839','-.0005 -.0008','Yes','31/64','3/4','10','9.11'
'NP33-6','0.4995','-.0005 -.0010','Yes','1/2','3/4','6','6.91'
'NP33-10','0.4995','-.0005 -.0010','Yes','1/2','3/4','10','9.31'
'NP33-14','0.4995','-.0005 -.0010','Yes','1/2','3/4','14','12.04'
'NP33-18','0.4995','-.0005 -.0010','Yes','1/2','3/4','18','15.79'
'NP33-25','0.4995','-.0005 -.0010','Yes','1/2','3/4','25','23.34'
'NP33-36','0.4995','-.0005 -.0010','Yes','1/2','3/4','36','47.15'
'NP33-39','0.4995','-.0005 -.0010','Yes','1/2','3/4','39','64.87'
'NP33-45','0.4995','-.0005 -.0010','Yes','1/2','3/4','45','78.60'
'NP34-6','0.5307','-.0005 -.0010','Yes','17/32','3/4','6','9.50'
'NP34-10','0.5307','-.0005 -.0010','Yes','17/32','3/4','10','9.36'
'NP34-14','0.5307','-.0005 -.0010','Yes','17/32','3/4','14','11.88'
'NP35-6','0.562','-.0005 -.0010','Yes','9/16','13/16','6','8.14'
'NP35-10','0.562','-.0005 -.0010','Yes','9/16','13/16','10','11.28'
'NP35-14','0.562','-.0005 -.0010','Yes','9/16','13/16','14','14.51'
'NP35-18','0.562','-.0005 -.0010','Yes','9/16','13/16','18','18.54'
'NP35-25','0.562','-.0005 -.0010','Yes','9/16','13/16','25','26.61'
'NP37-6','0.6245','-.0005 -.0010','Yes','5/8','7/8','6','9.57'
'NP37-10','0.6245','-.0005 -.0010','Yes','5/8','7/8','10','13.18'
'NP37-14','0.6245','-.0005 -.0010','Yes','5/8','7/8','14','16.85'
'NP37-18','0.6245','-.0005 -.0010','Yes','5/8','7/8','18','21.43'
'NP37-25','0.6245','-.0005 -.0010','Yes','5/8','7/8','25','30.21'
'NP37-36','0.6245','-.0005 -.0010','Yes','5/8','7/8','36','52.80'
'NP37-39','0.6245','-.0005 -.0010','Yes','5/8','7/8','39','81.95'
'NP39-6','0.687','-.0005 -.0010','Yes','11/16','15/16','6','11.74'
'NP39-10','0.687','-.0005 -.0010','Yes','11/16','15/16','10','15.58'
'NP39-14','0.687','-.0005 -.0010','Yes','11/16','15/16','14','22.72'
'NP39-18','0.687','-.0005 -.0010','Yes','11/16','15/16','18','25.04'
'NP39-25','0.687','-.0005 -.0010','Yes','11/16','15/16','25','35.33'
'NP39-39','0.687','-.0005 -.0010','Yes','11/16','15/16','39','107.85'
'NP41-6','0.7495','-.0005 -.0010','Yes','3/4','1','6','13.29'
'NP41-10','0.7495','-.0005 -.0010','Yes','3/4','1','10','17.85'
'NP41-14','0.7495','-.0005 -.0010','Yes','3/4','1','14','23.03'
'NP41-18','0.7495','-.0005 -.0010','Yes','3/4','1','18','29.28'
'NP41-25','0.7495','-.0005 -.0010','Yes','3/4','1','25','40.04'
'NP41-36','0.7495','-.0005 -.0010','Yes','3/4','1','36','65.46'
'NP41-39','0.7495','-.0005 -.0010','Yes','3/4','1','39','101.93'
'NP45-6','0.8745','-.0005 -.0010','Yes','7/8','1 1/8','6','17.64'
'NP45-10','0.8745','-.0005 -.0010','Yes','7/8','1 1/8','10','24.70'
'NP45-14','0.8745','-.0005 -.0010','Yes','7/8','1 1/8','14','28.18'
'NP45-18','0.8745','-.0005 -.0010','Yes','7/8','1 1/8','18','31.25'
'NP45-25','0.8745','-.0005 -.0010','Yes','7/8','1 1/8','25','51.45'
'NP47-6','0.9995','-.0005 -.0010','Yes','1','1 1/4','6','21.27'
'NP47-10','0.9995','-.0005 -.0010','Yes','1','1 1/4','10','29.56'
'NP47-14','0.9995','-.0005 -.0010','Yes','1','1 1/4','14','37.36'
'NP47-18','0.9995','-.0005 -.0010','Yes','1','1 1/4','18','45.64'
'NP47-25','0.9995','-.0005 -.0010','Yes','1','1 1/4','25','59.87'
'NP47-36','0.9995','-.0005 -.0010','Yes','1','1 1/4','36','115.44'
'NP47-39','0.9995','-.0005 -.0010','Yes','1','1 1/4','39','152.59'
