'SP3-6 1/2 OS','0.0357','+.0000/-.0003','No','1/32','.0357','1/4','10.20'
'SP3-62 OS','0.0357','+.0000/-.0003','No','1/32','.0357','1/4','10.15'
'SP3-82 OS','0.0357','+.0000/-.0003','No','1/32','.0357','1/4','10.90'
'SP3-82 OS-1','0.0317','+.0000/-.0003','No','1/32','.0317','1/4','18.41'
'SP3-82 OS-2','0.0327','+.0000/-.0003','No','1/32','.0327','1/4','18.41'
'SP3-82 OS-3','0.0337','+.0000/-.0003','No','1/32','.0337','1/4','18.41'
'SP3-82 OS-4','0.0347','+.0000/-.0003','No','1/32','.0347','1/4','18.41'
'SP3-83 OS','0.0357','+.0000/-.0003','No','1/32','.0357','1/4','12.50'
'SP3-84 OS','0.0357','+.0000/-.0003','No','1/32','.0357','1/4','12.50'
'SP4-102 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','6.75'
'SP4-104 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','8.57'
'SP4-6 1/2 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','6.87'
'SP4-62 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','6.57'
'SP4-8 1/2 OS-1','0.0474','+.0000/-.0003','No','3/64','.0474','1/4','17.18'
'SP4-8 1/2 OS-2','0.0484','+.0000/-.0003','No','3/64','.0484','1/4','17.18'
'SP4-8 1/2 OS-3','0.0494','+.0000/-.0003','No','3/64','.0494','1/4','17.18'
'SP4-8 1/2 OS-4','0.0504','+.0000/-.0003','No','3/64','.0504','1/4','17.18'
'SP4-82 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','6.69'
'SP4-82 OS-1','0.0474','+.0000/-.0003','No','3/64','.0474','1/4','14.73'
'SP4-82 OS-2','0.0484','+.0000/-.0003','No','3/64','.0484','1/4','14.73'
'SP4-82 OS-3','0.0494','+.0000/-.0003','No','3/64','.0494','1/4','14.73'
'SP4-82 OS-4','0.0504','+.0000/-.0003','No','3/64','.0504','1/4','14.73'
'SP4-83 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','7.63'
'SP4-84 OS','0.0514','+.0000/-.0003','No','3/64','.0514','1/4','7.63'
'SP5-10 1/2 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','6.98'
'SP5-102 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','6.75'
'SP5-104 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','8.04'
'SP5-142 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','8.87'
'SP5-6 1/2 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','6.27'
'SP5-62 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','6.11'
'SP5-8 1/2 OS-1','0.063','+.0000/-.0003','No','1/16','.0630','1/4','15.24'
'SP5-8 1/2 OS-2','0.064','+.0000/-.0003','No','1/16','.0640','1/4','15.24'
'SP5-8 1/2 OS-3','0.065','+.0000/-.0003','No','1/16','.0650','1/4','15.24'
'SP5-8 1/2 OS-4','0.066','+.0000/-.0003','No','1/16','.0660','1/4','15.24'
'SP5-82 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','6.16'
'SP5-82 OS-1','0.063','+.0000/-.0003','No','1/16','.0630','1/4','14.37'
'SP5-82 OS-2','0.064','+.0000/-.0003','No','1/16','.0640','1/4','14.37'
'SP5-82 OS-3','0.065','+.0000/-.0003','No','1/16','.0650','1/4','14.37'
'SP5-82 OS-4','0.066','+.0000/-.0003','No','1/16','.0660','1/4','14.37'
'SP5-83 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','7.28'
'SP5-84 OS','0.067','+.0000/-.0003','No','1/16','.0670','1/4','7.28'
'SP6-10 1/2 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','7.10'
'SP6-102 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','6.34'
'SP6-104 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','8.04'
'SP6-142 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','8.87'
'SP6-6 1/2 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','6.27'
'SP6-62 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','6.11'
'SP6-8 1/2 OS-1','0.0786','+.0000/-.0003','No','5/64','.0786','1/4','15.24'
'SP6-8 1/2 OS-2','0.0796','+.0000/-.0003','No','5/64','.0796','1/4','15.24'
'SP6-8 1/2 OS-3','0.0806','+.0000/-.0003','No','5/64','.0806','1/4','15.24'
'SP6-8 1/2 OS-4','0.0816','+.0000/-.0003','No','5/64','.0816','1/4','15.24'
'SP6-82 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','6.27'
'SP6-82 OS-1','0.0786','+.0000/-.0003','No','5/64','.0786','1/4','14.37'
'SP6-82 OS-2','0.0796','+.0000/-.0003','No','5/64','.0796','1/4','14.37'
'SP6-82 OS-3','0.0806','+.0000/-.0003','No','5/64','.0806','1/4','14.37'
'SP6-82 OS-4','0.0816','+.0000/-.0003','No','5/64','.0816','1/4','14.37'
'SP6-83 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','8.65'
'SP6-84 OS','0.0826','+.0000/-.0003','No','5/64','.0826','1/4','8.66'
'SP7-10 1/2 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','6.34'
'SP7-102 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','6.11'
'SP7-104 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','8.63'
'SP7-142 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','8.38'
'SP7-6 1/2 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','5.81'
'SP7-62 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','5.57'
'SP7-8 1/2 OS-1','0.0943','+.0000/-.0003','No','3/32','.0943','1/4','14.78'
'SP7-8 1/2 OS-2','0.0953','+.0000/-.0003','No','3/32','.0953','1/4','14.78'
'SP7-8 1/2 OS-3','0.0963','+.0000/-.0003','No','3/32','.0963','1/4','14.78'
'SP7-8 1/2 OS-4','0.0973','+.0000/-.0003','No','3/32','.0973','1/4','14.78'
'SP7-82 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','5.81'
'SP7-82 OS-1','0.0943','+.0000/-.0003','No','3/32','.0943','1/4','13.83'
'SP7-82 OS-2','0.0953','+.0000/-.0003','No','3/32','.0953','1/4','13.83'
'SP7-82 OS-3','0.0963','+.0000/-.0003','No','3/32','.0963','1/4','13.83'
'SP7-82 OS-4','0.0973','+.0000/-.0003','No','3/32','.0973','1/4','13.83'
'SP7-83 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','6.69'
'SP7-84 OS','0.0983','+.0000/-.0003','No','3/32','.0983','1/4','6.69'
'SP8-10 1/2 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','6.34'
'SP8-102 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','5.85'
'SP8-104 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','8.65'
'SP8-142 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','8.38'
'SP8-6 1/2 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','7.26'
'SP8-62 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','5.63'
'SP8-82 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','7.21'
'SP8-82 OS-1','0.1099','+.0000/-.0003','No','7/64','.1099','1/4','13.83'
'SP8-82 OS-2','0.1109','+.0000/-.0003','No','7/64','.1109','1/4','13.83'
'SP8-82 OS-3','0.1119','+.0000/-.0003','No','7/64','.1119','1/4','13.83'
'SP8-82 OS-4','0.1129','+.0000/-.0003','No','7/64','.1129','1/4','13.83'
'SP8-83 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','8.29'
'SP8-84 OS','0.1139','+.0000/-.0003','No','7/64','.1139','1/4','8.29'
