Item Number,Actual Pin Diameter,Actual Pin Diameter Tolerance,Annealed Head,D Nominal Pin Diameter,H Head Diameter,L Overall Length,Price,
'P34-4','0.5307','+.0000 -.0005','No','17/32','25/32','4','9.37'
'P34-6','0.5307','+.0000 -.0005','Yes','17/32','25/32','6','9.54'
'P34-10','0.5307','+.0000 -.0005','Yes','17/32','25/32','10','12.32'
'P34-12','0.5307','+.0000 -.0005','Yes','17/32','25/32','12','15.29'
'P34-14','0.5307','+.0000 -.0005','Yes','17/32','25/32','14','15.61'
'P35-4','0.562','+.0000 -.0005','No','9/16','13/16','4','8.07'
'P35-6','0.562','+.0000 -.0005','Yes','9/16','13/16','6','8.80'
'P35-8','0.562','+.0000 -.0005','Yes','9/16','13/16','8','11.49'
'P35-10','0.562','+.0000 -.0005','Yes','9/16','13/16','10','12.21'
'P35-12','0.562','+.0000 -.0005','Yes','9/16','13/16','12','14.32'
'P35-14','0.562','+.0000 -.0005','Yes','9/16','13/16','14','17.85'
'P37-4','0.6245','+.0000 -.0005','No','5/8','7/8','4','9.68'
'P37-6','0.6245','+.0000 -.0005','Yes','5/8','7/8','6','10.36'
'P37-8','0.6245','+.0000 -.0005','Yes','5/8','7/8','8','13.36'
'P37-10','0.6245','+.0000 -.0005','Yes','5/8','7/8','10','14.26'
'P37-12','0.6245','+.0000 -.0005','Yes','5/8','7/8','12','17.15'
'P37-14','0.6245','+.0000 -.0005','Yes','5/8','7/8','14','18.23'
'P39-4','0.687','+.0000 -.0005','No','11/16','15/16','4','11.55'
'P39-6','0.687','+.0000 -.0005','Yes','11/16','15/16','6','11.81'
'P39-8','0.687','+.0000 -.0005','Yes','11/16','15/16','8','15.75'
'P39-10','0.687','+.0000 -.0005','Yes','11/16','15/16','10','16.85'
'P39-12','0.687','+.0000 -.0005','Yes','11/16','15/16','12','20.31'
'P39-14','0.687','+.0000 -.0005','Yes','11/16','15/16','14','22.84'
'P41-4','0.7495','+.0000 -.0005','No','3/4','1','4','13.30'
'P41-6','0.7495','+.0000 -.0005','Yes','3/4','1','6','14.38'
'P41-8','0.7495','+.0000 -.0005','Yes','3/4','1','8','17.80'
'P41-10','0.7495','+.0000 -.0005','Yes','3/4','1','10','19.32'
'P41-12','0.7495','+.0000 -.0005','Yes','3/4','1','12','23.24'
'P41-14','0.7495','+.0000 -.0005','Yes','3/4','1','14','24.92'
'P45-4','0.8745','+.0000 -.0005','No','7/8','1-1/8','4','17.35'
'P45-6','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','6','17.75'
'P45-8','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','8','24.91'
'P45-10','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','10','26.71'
'P45-12','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','12','32.12'
'P45-14','0.8745','+.0000 -.0005','Yes','7/8','1-1/8','14','32.89'
'P47-4','0.9995','+.0000 -.0005','No','1','1-1/4','4','20.92'
'P47-6','0.9995','+.0000 -.0005','Yes','1','1-1/4','6','23.02'
'P47-8','0.9995','+.0000 -.0005','Yes','1','1-1/4','8','29.34'
'P47-10','0.9995','+.0000 -.0005','Yes','1','1-1/4','10','32.00'
'P47-12','0.9995','+.0000 -.0005','Yes','1','1-1/4','12','37.92'
'P47-14','0.9995','+.0000 -.0005','Yes','1','1-1/4','14','43.38'
'P3-4','0.0307','+.0000 -.0003','No','1/32','1/8','4','10.20'
'P3-6','0.0307','+.0000 -.0003','Yes','1/32','1/8','6','10.32'
'P4-4','0.0464','+.0000 -.0003','No','3/64','5/32','4','5.88'
'P4-6','0.0464','+.0000 -.0003','Yes','3/64','5/32','6','5.94'
'P5-4','0.062','+.0000 -.0003','No','1/16','3/16','4','5.49'
'P5-6','0.062','+.0000 -.0003','Yes','1/16','3/16','6','5.55'
'P5-8','0.062','+.0000 -.0003','Yes','1/16','3/16','8','6.13'
'P5-10','0.062','+.0000 -.0003','Yes','1/16','3/16','10','6.51'
'P6-4','0.0776','+.0000 -.0003','No','5/64','13/64','4','5.49'
'P6-6','0.0776','+.0000 -.0003','Yes','5/64','13/64','6','5.55'
'P6-8','0.0776','+.0000 -.0003','Yes','5/64','13/64','8','6.13'
'P6-10','0.0776','+.0000 -.0003','Yes','5/64','13/64','10','6.51'
'P7-4','0.0933','+.0000 -.0003','No','3/32','7/32','4','4.90'
'P7-6','0.0933','+.0000 -.0003','Yes','3/32','7/32','6','5.04'
'P7-8','0.0933','+.0000 -.0003','Yes','3/32','7/32','8','5.55'
'P7-10','0.0933','+.0000 -.0003','Yes','3/32','7/32','10','5.61'
'P8-4','0.1089','+.0000 -.0003','No','7/64','15/64','4','4.90'
'P8-6','0.1089','+.0000 -.0003','Yes','7/64','15/64','6','5.04'
'P8-8','0.1089','+.0000 -.0003','Yes','7/64','15/64','8','5.55'
'P8-10','0.1089','+.0000 -.0003','Yes','7/64','15/64','10','5.61'
'P9-4','0.1245','+.0000 -.0003','No','1/8','1/4','4','2.64'
'P9-6','0.1245','+.0000 -.0003','Yes','1/8','1/4','6','2.85'
'P9-8','0.1245','+.0000 -.0003','Yes','1/8','1/4','8','3.04'
'P9-10','0.1245','+.0000 -.0003','Yes','1/8','1/4','10','3.22'
'P9-12','0.1245','+.0000 -.0003','Yes','1/8','1/4','12','3.43'
'P9-14','0.1245','+.0000 -.0003','Yes','1/8','1/4','14','3.67'
'P10-4','0.1401','+.0000 -.0003','No','9/64','1/4','4','2.96'
'P10-6','0.1401','+.0000 -.0003','Yes','9/64','1/4','6','3.04'
